window_id,split,lake_name,target_datetime,length,window_days,target_raw,target_transformed,ice_prev_m,ice_prev_gap_days,Air_Temperature_celsius,ice_prev_available,coeff_shape
train_000000,train,【Huo】Lake Hnagzhang,2020-12-02 00:00:00,2,45,0.0,0.0,0.0,1.0,-4.83792724609372,1.0,"(1, 1, 52)"
train_000001,train,【Huo】Lake Hnagzhang,2020-12-03 00:00:00,3,45,0.0,0.0,0.0,1.0,-5.32730712890622,1.0,"(1, 2, 52)"
train_000002,train,【Huo】Lake Hnagzhang,2020-12-04 00:00:00,4,45,0.006000000052154,0.006000000052154064,0.0,1.0,-5.44217529296872,1.0,"(1, 3, 52)"
train_000003,train,【Huo】Lake Hnagzhang,2020-12-05 00:00:00,5,45,0.0099999997764825,0.009999999776482582,0.006000000052154,1.0,-3.5665344238281,1.0,"(1, 4, 52)"
train_000004,train,【Huo】Lake Hnagzhang,2020-12-06 00:00:00,6,45,0.0160000007599592,0.01600000075995922,0.0099999997764825,1.0,-2.18707885742185,1.0,"(1, 5, 52)"
train_000005,train,【Huo】Lake Hnagzhang,2020-12-07 00:00:00,7,45,0.0260000005364418,0.026000000536441803,0.0160000007599592,1.0,-6.00787963867185,1.0,"(1, 6, 52)"
train_000006,train,【Huo】Lake Hnagzhang,2020-12-08 00:00:00,8,45,0.0299999993294477,0.029999999329447746,0.0260000005364418,1.0,-5.6409973144531,1.0,"(1, 7, 52)"
train_000007,train,【Huo】Lake Hnagzhang,2020-12-09 00:00:00,9,45,0.0280000008642673,0.02800000086426735,0.0299999993294477,1.0,0.333245849609397,1.0,"(1, 8, 52)"
train_000008,train,【Huo】Lake Hnagzhang,2020-12-10 00:00:00,10,45,0.0280000008642673,0.02800000086426735,0.0280000008642673,1.0,-2.2380432128906,1.0,"(1, 9, 52)"
train_000009,train,【Huo】Lake Hnagzhang,2020-12-11 00:00:00,11,45,0.0340000018477439,0.03400000184774399,0.0280000008642673,1.0,-4.8309387207031,1.0,"(1, 10, 52)"
train_000010,train,【Huo】Lake Hnagzhang,2020-12-12 00:00:00,12,45,0.0419999994337558,0.041999999433755875,0.0340000018477439,1.0,-7.45633544921872,1.0,"(1, 11, 52)"
train_000011,train,【Huo】Lake Hnagzhang,2020-12-13 00:00:00,13,45,0.050000000745058,0.05000000074505806,0.0419999994337558,1.0,-9.35407104492185,1.0,"(1, 12, 52)"
train_000012,train,【Huo】Lake Hnagzhang,2020-12-14 00:00:00,14,45,0.061999998986721,0.06199999898672104,0.050000000745058,1.0,-10.2464355468749,1.0,"(1, 13, 52)"
train_000013,train,【Huo】Lake Hnagzhang,2020-12-15 00:00:00,15,45,0.0799999982118606,0.07999999821186066,0.061999998986721,1.0,-11.9647888183593,1.0,"(1, 14, 52)"
train_000014,train,【Huo】Lake Hnagzhang,2020-12-16 00:00:00,16,45,0.096000000834465,0.09600000083446503,0.0799999982118606,1.0,-11.6820129394531,1.0,"(1, 15, 52)"
train_000015,train,【Huo】Lake Hnagzhang,2020-12-17 00:00:00,17,45,0.108000002801418,0.1080000028014183,0.096000000834465,1.0,-5.76102294921872,1.0,"(1, 16, 52)"
train_000016,train,【Huo】Lake Hnagzhang,2020-12-18 00:00:00,18,45,0.115999996662139,0.11599999666213989,0.108000002801418,1.0,-7.5340637207031,1.0,"(1, 17, 52)"
train_000017,train,【Huo】Lake Hnagzhang,2020-12-19 00:00:00,19,45,0.131999999284744,0.13199999928474426,0.115999996662139,1.0,-8.01590576171872,1.0,"(1, 18, 52)"
train_000018,train,【Huo】Lake Hnagzhang,2020-12-20 00:00:00,20,45,0.143999993801116,0.14399999380111694,0.131999999284744,1.0,-7.2983459472656,1.0,"(1, 19, 52)"
train_000019,train,【Huo】Lake Hnagzhang,2020-12-21 00:00:00,21,45,0.151999995112419,0.15199999511241913,0.143999993801116,1.0,-3.06894531249997,1.0,"(1, 20, 52)"
train_000020,train,【Huo】Lake Hnagzhang,2020-12-22 00:00:00,22,45,0.150000005960464,0.15000000596046448,0.151999995112419,1.0,-1.0753234863281,1.0,"(1, 21, 52)"
train_000021,train,【Huo】Lake Hnagzhang,2020-12-23 00:00:00,23,45,0.151999995112419,0.15199999511241913,0.150000005960464,1.0,0.783532714843772,1.0,"(1, 22, 52)"
train_000022,train,【Huo】Lake Hnagzhang,2020-12-24 00:00:00,24,45,0.158000007271766,0.15800000727176666,0.151999995112419,1.0,-5.46317138671872,1.0,"(1, 23, 52)"
train_000023,train,【Huo】Lake Hnagzhang,2020-12-25 00:00:00,25,45,0.162000000476837,0.16200000047683716,0.158000007271766,1.0,-6.53668823242185,1.0,"(1, 24, 52)"
train_000024,train,【Huo】Lake Hnagzhang,2020-12-26 00:00:00,26,45,0.165999993681907,0.16599999368190765,0.162000000476837,1.0,-6.17679443359372,1.0,"(1, 25, 52)"
train_000025,train,【Huo】Lake Hnagzhang,2020-12-27 00:00:00,27,45,0.165999993681907,0.16599999368190765,0.165999993681907,1.0,-3.12821044921872,1.0,"(1, 26, 52)"
train_000026,train,【Huo】Lake Hnagzhang,2020-12-28 00:00:00,28,45,0.173999994993209,0.17399999499320984,0.165999993681907,1.0,-11.3425048828124,1.0,"(1, 27, 52)"
train_000027,train,【Huo】Lake Hnagzhang,2020-12-29 00:00:00,29,45,0.181999996304512,0.18199999630451202,0.173999994993209,1.0,-12.8524230957031,1.0,"(1, 28, 52)"
train_000028,train,【Huo】Lake Hnagzhang,2020-12-30 00:00:00,30,45,0.200000002980232,0.20000000298023224,0.181999996304512,1.0,-15.5271057128906,1.0,"(1, 29, 52)"
train_000029,train,【Huo】Lake Hnagzhang,2020-12-31 00:00:00,31,45,0.206000000238418,0.20600000023841858,0.200000002980232,1.0,-11.9553894042968,1.0,"(1, 30, 52)"
train_000030,train,【Huo】Lake Hnagzhang,2021-01-01 00:00:00,32,45,0.209999993443489,0.20999999344348907,0.206000000238418,1.0,-12.6169494628906,1.0,"(1, 31, 52)"
train_000031,train,【Huo】Lake Hnagzhang,2021-01-02 00:00:00,33,45,0.222000002861022,0.22200000286102295,0.209999993443489,1.0,-14.1767944335937,1.0,"(1, 32, 52)"
train_000032,train,【Huo】Lake Hnagzhang,2021-01-03 00:00:00,34,45,0.236000001430511,0.23600000143051147,0.222000002861022,1.0,-12.4415039062499,1.0,"(1, 33, 52)"
train_000033,train,【Huo】Lake Hnagzhang,2021-01-04 00:00:00,35,45,0.241999998688697,0.24199999868869781,0.236000001430511,1.0,-9.11484374999997,1.0,"(1, 34, 52)"
train_000034,train,【Huo】Lake Hnagzhang,2021-01-05 00:00:00,36,45,0.256000012159347,0.25600001215934753,0.241999998688697,1.0,-14.0744689941406,1.0,"(1, 35, 52)"
train_000035,train,【Huo】Lake Hnagzhang,2021-01-06 00:00:00,37,45,0.26800000667572,0.2680000066757202,0.256000012159347,1.0,-10.8649963378906,1.0,"(1, 36, 52)"
train_000036,train,【Huo】Lake Hnagzhang,2021-01-07 00:00:00,38,45,0.287999987602233,0.2879999876022339,0.26800000667572,1.0,-19.5803283691406,1.0,"(1, 37, 52)"
train_000037,train,【Huo】Lake Hnagzhang,2021-01-08 00:00:00,39,45,0.300000011920928,0.30000001192092896,0.287999987602233,1.0,-16.7059387207031,1.0,"(1, 38, 52)"
train_000038,train,【Huo】Lake Hnagzhang,2021-01-09 00:00:00,40,45,0.305999994277954,0.3059999942779541,0.300000011920928,1.0,-12.9989379882812,1.0,"(1, 39, 52)"
train_000039,train,【Huo】Lake Hnagzhang,2021-01-10 00:00:00,41,45,0.312000006437301,0.31200000643730164,0.305999994277954,1.0,-8.70084228515622,1.0,"(1, 40, 52)"
train_000040,train,【Huo】Lake Hnagzhang,2021-01-11 00:00:00,42,45,0.312000006437301,0.31200000643730164,0.312000006437301,1.0,-5.32266845703122,1.0,"(1, 41, 52)"
train_000041,train,【Huo】Lake Hnagzhang,2021-01-12 00:00:00,43,45,0.316000014543533,0.3160000145435333,0.312000006437301,1.0,-3.4835266113281,1.0,"(1, 42, 52)"
train_000042,train,【Huo】Lake Hnagzhang,2021-01-13 00:00:00,44,45,0.319999992847442,0.3199999928474426,0.316000014543533,1.0,-5.83951416015622,1.0,"(1, 43, 52)"
train_000043,train,【Huo】Lake Hnagzhang,2021-01-14 00:00:00,45,45,0.324000000953674,0.3240000009536743,0.319999992847442,1.0,-8.43683471679685,1.0,"(1, 44, 52)"
train_000044,train,【Huo】Lake Hnagzhang,2021-01-15 00:00:00,46,45,0.32600000500679,0.32600000500679016,0.324000000953674,1.0,-9.05240478515622,1.0,"(1, 45, 52)"
train_000045,train,【Huo】Lake Hnagzhang,2021-01-16 00:00:00,46,45,0.32600000500679,0.32600000500679016,0.32600000500679,1.0,-13.7477478027343,1.0,"(1, 45, 52)"
train_000046,train,【Huo】Lake Hnagzhang,2021-01-17 00:00:00,46,45,0.331999987363815,0.3319999873638153,0.32600000500679,1.0,-10.2126220703124,1.0,"(1, 45, 52)"
train_000047,train,【Huo】Lake Hnagzhang,2021-01-18 00:00:00,46,45,0.337999999523162,0.33799999952316284,0.331999987363815,1.0,-10.4398559570312,1.0,"(1, 45, 52)"
train_000048,train,【Huo】Lake Hnagzhang,2021-01-19 00:00:00,46,45,0.335999995470047,0.335999995470047,0.337999999523162,1.0,-14.4695190429687,1.0,"(1, 45, 52)"
train_000049,train,【Huo】Lake Hnagzhang,2021-01-20 00:00:00,46,45,0.342000007629394,0.34200000762939453,0.335999995470047,1.0,1.32158813476564,1.0,"(1, 45, 52)"
train_000050,train,【Huo】Lake Hnagzhang,2021-01-21 00:00:00,46,45,0.345999985933303,0.34599998593330383,0.342000007629394,1.0,-0.179174804687477,1.0,"(1, 45, 52)"
train_000051,train,【Huo】Lake Hnagzhang,2021-01-22 00:00:00,46,45,0.354000002145767,0.3540000021457672,0.345999985933303,1.0,-5.94742431640622,1.0,"(1, 45, 52)"
train_000052,train,【Huo】Lake Hnagzhang,2021-01-23 00:00:00,46,45,0.354000002145767,0.3540000021457672,0.354000002145767,1.0,-9.36786499023435,1.0,"(1, 45, 52)"
train_000053,train,【Huo】Lake Hnagzhang,2021-01-24 00:00:00,46,45,0.351999998092651,0.35199999809265137,0.354000002145767,1.0,-3.25748291015622,1.0,"(1, 45, 52)"
