window_id,split,lake_name,target_datetime,length,window_days,target_raw,input_prev_ice_m,input_prev_gap_days,input_prev_available,coeff_shape
seasonal_rollout_000000,seasonal_rollout,【Li】Lake Xiaoxingkai,2025-10-02 12:00:00,2,7,,0.7122,227.0,True,"(1, 40)"
seasonal_rollout_000001,seasonal_rollout,【Li】Lake Xiaoxingkai,2025-10-03 12:00:00,3,7,,0.43694058060646057,1.0,True,"(2, 40)"
seasonal_rollout_000002,seasonal_rollout,【Li】Lake Xiaoxingkai,2025-10-04 12:00:00,4,7,,0.13743090629577637,1.0,True,"(3, 40)"
seasonal_rollout_000003,seasonal_rollout,【Li】Lake Xiaoxingkai,2025-10-05 12:00:00,5,7,,0.05318513885140419,1.0,True,"(4, 40)"
seasonal_rollout_000004,seasonal_rollout,【Li】Lake Xiaoxingkai,2025-10-06 12:00:00,6,7,,0.03158058598637581,1.0,True,"(5, 40)"
seasonal_rollout_000005,seasonal_rollout,【Li】Lake Xiaoxingkai,2025-10-07 12:00:00,7,7,,0.024656150490045547,1.0,True,"(6, 40)"
seasonal_rollout_000006,seasonal_rollout,【Li】Lake Xiaoxingkai,2025-10-08 12:00:00,8,7,,0.019127745181322098,1.0,True,"(7, 40)"
seasonal_rollout_000007,seasonal_rollout,【Li】Lake Xiaoxingkai,2025-10-09 12:00:00,8,7,,0.013237511739134789,1.0,True,"(7, 40)"
seasonal_rollout_000008,seasonal_rollout,【Li】Lake Xiaoxingkai,2025-10-10 12:00:00,8,7,,0.03160605952143669,1.0,True,"(7, 40)"
seasonal_rollout_000009,seasonal_rollout,【Li】Lake Xiaoxingkai,2025-10-11 12:00:00,8,7,,0.004761087242513895,1.0,True,"(7, 40)"
seasonal_rollout_000010,seasonal_rollout,【Li】Lake Xiaoxingkai,2025-10-12 12:00:00,8,7,,0.016519831493496895,1.0,True,"(7, 40)"
seasonal_rollout_000011,seasonal_rollout,【Li】Lake Xiaoxingkai,2025-10-13 12:00:00,8,7,,0.02529357559978962,1.0,True,"(7, 40)"
seasonal_rollout_000012,seasonal_rollout,【Li】Lake Xiaoxingkai,2025-10-14 12:00:00,8,7,,0.024808244779706,1.0,True,"(7, 40)"
seasonal_rollout_000013,seasonal_rollout,【Li】Lake Xiaoxingkai,2025-10-15 12:00:00,8,7,,0.04050775617361069,1.0,True,"(7, 40)"
seasonal_rollout_000014,seasonal_rollout,【Li】Lake Xiaoxingkai,2025-10-16 12:00:00,8,7,,0.0595225989818573,1.0,True,"(7, 40)"
seasonal_rollout_000015,seasonal_rollout,【Li】Lake Xiaoxingkai,2025-10-17 12:00:00,8,7,,0.04702410846948624,1.0,True,"(7, 40)"
seasonal_rollout_000016,seasonal_rollout,【Li】Lake Xiaoxingkai,2025-10-18 12:00:00,8,7,,0.04812871664762497,1.0,True,"(7, 40)"
seasonal_rollout_000017,seasonal_rollout,【Li】Lake Xiaoxingkai,2025-10-19 12:00:00,8,7,,0.08141901344060898,1.0,True,"(7, 40)"
seasonal_rollout_000018,seasonal_rollout,【Li】Lake Xiaoxingkai,2025-10-20 12:00:00,8,7,,0.08700443804264069,1.0,True,"(7, 40)"
